Creditscore,Creditscoreindicator,Likelihoodoffailure,CreditlimitGBPGBP,Previouscreditscore,SMEindicator,ReturnonTotalAssets2020,ReturnonTotalAssets2019,ReturnonShareholdersFunds2020,ReturnonShareholdersFunds2019,ReturnonCapitalEmployed2020,ReturnonCapitalEmployed2019
99,Secure,0.9,50000000,99,No,,5.33282716,,9.678396663,,7.489628347
99,Secure,0.9,50000000,99,No,,10.74177747,,22.9694904,,15.12646447
99,Secure,0.9,50000000,99,No,,21.86563403,,32.03729394,,31.93367165
97,Secure,0.9,14487000,99,No,1.910443309,2.712182856,9.148277272,12.865936,6.173426359,8.224541683
92,Secure,0.9,50000000,92,No,,0.888375674,,40.23709902,,0.897900749
92,Secure,0.9,50000000,92,No,,6.043550665,,11.66965158,,7.429770913
92,Secure,0.9,50000000,92,No,6.688816997,6.270005649,35.53181607,36.45320197,7.106363214,6.708299758
86,Secure,0.9,50000000,86,No,-8.62089271,-5.375167214,-35.81213307,-21.05263158,-9.024224866,-5.741751104
31,Caution,11.2,8191000,86,No,2.190812721,-5.375494071,9.102030829,-21.05263158,2.293182098,-5.613411227
77,Stable,2.2,11274000,86,No,,-10.95561459,,-24.71829407,,-23.04063839
55,Normal,4.2,500,68,No,,-10.60319004,,,,-100.9282902
92,Secure,0.9,14059000,92,No,,4.297710508,,11.93185845,,8.306447635
92,Secure,0.9,16344000,89,No,6.906116483,2.201049402,17.11487412,4.635386929,13.45827526,4.324216359
92,Secure,0.9,3466000,89,No,,3.73761988,,11.34918292,,9.710153246
92,Secure,0.9,3796000,95,No,1.842945725,2.960132159,10.05605096,16.74579144,8.002514091,13.7456658
85,Secure,0.9,1448000,89,No,,2.095323848,,18.05836345,,11.96131476
95,Secure,0.9,28676000,95,No,1.623566826,6.871463217,5.303444505,12.11401425,2.195315152,9.668246445
95,Secure,0.9,14081000,99,No,,9.213884204,,29.84031688,,27.05008875
86,Secure,0.9,3786000,86,No,,-16.09705259,,-67.42229493,,-23.10627514
89,Secure,0.9,5963000,86,No,,1.422921471,,7.058882798,,3.622011717
99,Secure,0.9,30381000,95,No,1.699533883,5.022197558,2.927371542,6.578628544,2.144990497,6.289089646
